Text,Labels,Mapped_Text
ക ര ി ങ ് ക ൂ വ ള മ ി ന ് ന ്,NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP,കരിങ്കൂവളമ+ിന്ന്
സ ന ് ന ദ ് ധ മ ാ യ ി,NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP,സന്നദ്ധമ+ായി
ക ൊ ല ് ല മ െ സ െ ൻ,NSP NSP NSP NSP NSP SP NSP SP NSP NSP,കൊല്ലമ+െസ+െൻ
സ ാ ം സ ് ക ാ ര ി ക മ ാ യ,NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP,സാംസ്കാരികമ+ായ
പ ് ര ത ി വ ി ധ ി യ ാ യ ി,NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP,പ്രതിവിധിയ+ായി
ന ന ് ന ല ് ല,NSP NSP NSP SP NSP NSP NSP,നന്ന+ല്ല
ത ന ് ന െ യ ി പ ് പ ോ ൾ,NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP,തന്നെയ+ിപ്പോൾ
അ മ ി ത ാ ഹ ാ ര മ െ ന ് ന യ ി വ,NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP SP NSP NSP,അമിതാഹാരമ+െന്നയ+ിവ
ന ട ു ന ് ന ത ാ ണ ്,NSP NSP NSP NSP NSP NSP SP NSP NSP NSP,നടുന്നത+ാണ്
വ ാ ക ് യ ത ് ത ി ന ു ള ് ള ി ൽ,NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP,വാക്യത്തിന+ുള്ളിൽ
ക ോ വ െ ന ് ന യ ി വ ര ീ,NSP NSP SP NSP NSP NSP NSP SP NSP NSP SP NSP,കോവ+െന്നയ+ിവര+ീ
എ ന ് ത ാ ണ ത ി ന ് റ െ,NSP NSP NSP SP NSP SP NSP NSP NSP NSP NSP NSP,എന്ത+ാണ+തിന്റെ
സ വ ി ശ േ ഷ സ ് വ ഭ ാ വ മ ാ ണ ്,NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP,സവിശേഷസ്വഭാവമ+ാണ്
മ ാ ത ് ര മ േ യ ി വ ി ട െ ‌,NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP,മാത്രമേയ+ിവിടെ‌
വ െ ല ് ല ു വ ി ള ി യ ു ള ് ള,NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP,വെല്ലുവിളിയ+ുള്ള
ഞ ങ ് ങ ള ു മ ൊ ര േ ദ ി വ സ ം,NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP,ഞങ്ങളുമ+ൊരേദിവസം
ഏ റ ് റ ു മ ു ട ് ട ി യ യ ാ ശ യ ങ ് ങ ള ി ല ൂ ട െ യ ാ റ ു,NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP,ഏറ്റുമുട്ടിയയ+ാശയങ്ങളിലൂടെയ+ാറു
ക ാ ണ ണ മ െ ന ് ന ു ം,NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP,കാണണമ+െന്നും
സ ഹ ക ര ണ ത ് ത ോ ട െ യ ല ങ ് ക ാ ര മ ത ് സ ് യ ക ൃ ഷ ി,NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP,സഹകരണത്തോടെയ+ലങ്കാരമത്സ്യകൃഷി
ഓ പ ് പ റ േ റ ് റ ർ ‍ മ ാ ർ ‍ ക ് ക ു ണ ് ട െ ന ് ന ത ്,NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP,ഓപ്പറേറ്റർ‍മാർ‍ക്ക+ുണ്ട+െന്നത്
മ ു റ ി ക ള ൊ ര ് ക ് ക ല ാ ണ ്,NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP,മുറികള+ൊര്ക്കല+ാണ്
ഔ ഷ ധ മ ാ ക ് ക ാ ം,NSP NSP NSP SP NSP NSP NSP NSP NSP NSP,ഔഷധമ+ാക്കാം
ക ു ട ു ങ ് ങ ി യ വ ര ി ൽ പ ് പ െ ട ് ട,NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP,കുടുങ്ങിയവരിൽ+പ്പെട്ട
ക ട യ ് ക ് ക ാ ൺ,NSP NSP NSP NSP NSP NSP SP NSP NSP,കടയ്ക്ക+ാൺ
സ ാ മ ് പ ത ് ത ി ക പ ര ി ധ ി ക ് ക ു ള ് ള ി ൽ,NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP,സാമ്പത്തികപരിധിക്ക+ുള്ളിൽ
ദ ീ ര ് ഘ മ ാ യ യ ൊ ഴ ി വ ു ക ാ ല ത ് ത ോ ട ല ് ല,NSP NSP NSP NSP NSP SP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP,ദീര്ഘമ+ായയ+ൊഴിവുകാലത്തോട+ല്ല
വ ള ര ണ മ െ ന ് ന ി ല ് ല,NSP NSP NSP NSP SP NSP NSP NSP SP NSP NSP NSP NSP,വളരണമ+െന്ന+ില്ല
ഇ മ േ ജ ര ു പ യ ോ ഗ ി ച ് ച ്,NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP,ഇമേജര+ുപയോഗിച്ച്
ക ാ യ ് വ ല ി പ ് പ മ ു ള ് ള ത ു ം,NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP,കായ്വലിപ്പമ+ുള്ളതും
സ ് ‌ ന േ ഹ മ ാ ണ വ ി ട ത ് ത െ,NSP NSP NSP NSP NSP NSP SP NSP SP NSP NSP NSP NSP NSP NSP NSP,സ്‌നേഹമ+ാണ+വിടത്തെ
പ ് ര സ ന ് ന മ ാ യ ി ര ു ന ് ന ു,NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP,പ്രസന്നമ+ായിരുന്നു
പ ് ര ത ീ ക ് ഷ ക ള ി ല ു മ ൊ ക ് ക െ ക ് ക ാ ര ് യ മ ാ യ,NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP SP NSP NSP,പ്രതീക്ഷകളിലുമ+ൊക്കെക്ക+ാര്യമ+ായ
ര ാ വ ി ല െ യ േ ഴ ്,NSP NSP NSP NSP NSP NSP SP NSP NSP NSP,രാവിലെയ+േഴ്
പ ഠ ി ച ് ച ാ ണ ്,NSP NSP NSP NSP NSP SP NSP NSP NSP,പഠിച്ച+ാണ്
ത െ റ ി പ ് പ ി ക ് ക ു ന ് ന ത ു മ േ റ െ,NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP,തെറിപ്പിക്കുന്നതുമ+േറെ
മ ത പ ര മ ാ യ,NSP NSP NSP NSP SP NSP NSP,മതപരമ+ായ
വ ൈ വ ി ദ ് ധ ് യ പ ൂ ര ് ണ മ ാ യ,NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP,വൈവിദ്ധ്യപൂര്ണമ+ായ
അ ട ് ട പ ് പ ാ ട ി യ െ ന ് ന,NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP,അട്ടപ്പാടിയ+െന്ന
ക േ ര ള മ ൊ ര ു,NSP NSP NSP NSP SP NSP NSP NSP,കേരളമ+ൊരു
ത ് ര ാ ട ന മ ി വ,NSP NSP NSP NSP NSP NSP SP NSP NSP,ത്രാടനമ+ിവ
ഒ ര ാ ൾ ക ് ക ്,NSP SP NSP NSP NSP NSP NSP NSP,ഒര+ാൾക്ക്
ന ീ ങ ് ങ ു ന ് ന ത െ ന ് ന യ ാ ശ ങ ് ക യ ു മ വ ർ,NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP,നീങ്ങുന്നത+െന്നയ+ാശങ്കയുമ+വർ
ക േ ന ് ദ ് ര ങ ് ങ ള ു ണ ് ട ്,NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP,കേന്ദ്രങ്ങള+ുണ്ട്
ജ ൂ ല ാ യ ി യ ാ ണ ്,NSP NSP NSP NSP NSP NSP SP NSP NSP NSP,ജൂലായിയ+ാണ്
പ ് ര ധ ാ ന മ ാ ണ െ ങ ് ക ി ല ത ് ര,NSP NSP NSP NSP NSP NSP SP NSP SP NSP NSP NSP NSP NSP SP NSP NSP NSP,പ്രധാനമ+ാണ+െങ്കില+ത്ര
ച േ ർ ത ് ത ു ക െ ട ് ട ു ന ് ന,NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP,ചേർത്തു+കെട്ടുന്ന
പ ര ി ച ി ത മ ാ യ,NSP NSP NSP NSP NSP NSP SP NSP NSP,പരിചിതമ+ായ
ഇ ത ൊ ക ് ക െ യ ാ ണ ്,NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP,ഇതൊക്കെയ+ാണ്
ഇ ര ട ് ട യ ാ യ ി,NSP NSP NSP NSP NSP SP NSP NSP NSP,ഇരട്ടയ+ായി
ക ാ ന ന ജ ീ വ ി ത വ ു മ ാ സ ് വ ദ ി ച ് ച ൊ ര ു,NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP,കാനനജീവിതവുമ+ാസ്വദിച്ച+ൊരു
ത ാ ല ൂ ക ് ക ാ ശ ു പ ത ് ര ി യ ി ല േ ക ് ക ോ,NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP,താലൂക്ക+ാശുപത്രിയിലേക്കോ
ത ര ു ന ് ന യ ാ ന ന ് ദ ം,NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP,തരുന്നയ+ാനന്ദം
ഘ ട ക ങ ് ങ ള ു മ ാ യ ി,NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP,ഘടകങ്ങളുമ+ായി
മ ാ ത ൃ ഭ ാ ഷ യ െ ക ് ക ു റ ി ച ് ച ാ ണ െ ന ് ന ോ ർ ക ് ക ണ ം,NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP SP NSP SP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP,മാതൃഭാഷയെക്ക+ുറിച്ച+ാണ+െന്ന+ോർക്കണം
വ ാ യ ന യ െ പ ് പ റ ് റ ി യ ദ ് ദ േ ഹ ം,NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP,വായനയെപ്പ+റ്റിയ+ദ്ദേഹം
ക ൊ യ ി ല ാ ണ ് ട ി ക ് ക ട ു ത ് ത ്,NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP,കൊയിലാണ്ടിക്ക+ടുത്ത്
മ ന ു ഷ ് യ ര െ യ േ റ ് റ വ ു ം,NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP,മനുഷ്യരെയ+േറ്റവും
പ ു സ ് ത ക മ െ ന ് ന െ,NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP,പുസ്തകമ+െന്നെ
അ ന ി വ ര ് യ മ ാ യ,NSP NSP NSP NSP NSP NSP NSP SP NSP NSP,അനിവര്യമ+ായ
ല ൈ ം ഗ ി ക മ ാ യ യ ര ാ ജ ക ത ് വ ം,NSP NSP NSP NSP NSP NSP SP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP,ലൈംഗികമ+ായയ+രാജകത്വം
ക ൂ ട ു ത ല ാ യ ി യ െ ത ് ത ി ച ് ച ി ര ു ന ് ന ത ്,NSP NSP NSP NSP NSP SP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP,കൂടുതല+ായിയ+െത്തിച്ചിരുന്നത്
അ ന ി യ ന ് ത ് ര ി ത മ ാ യ യ ു പ ഭ ോ ഗ ത ് ത ി ന ് റ െ യ പ ര ി ഹ ാ ര ് യ മ ാ യ,NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP,അനിയന്ത്രിതമ+ായയ+ുപഭോഗത്തിന്റെയ+പരിഹാര്യമ+ായ
ജ ല സ സ ് യ ങ ് ങ ള ു ട െ യ ു മ ല ങ ് ക ാ ര യ ാ മ ക ള ു ട െ യ ു ം,NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP,ജലസസ്യങ്ങളുടെയുമ+ലങ്കാരയ+ാമകളുടെയും
വ ി ദ േ ശ ി ക ള ാ യ,NSP NSP NSP NSP NSP NSP NSP SP NSP NSP,വിദേശികള+ായ
ജ ീ വ ി ത മ ി ല ് ല,NSP NSP NSP NSP NSP SP NSP NSP NSP NSP,ജീവിതമ+ില്ല
പ ാ റ ക ് ക ട വ ാ ണ ്,NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP,പാറക്കടവ+ാണ്
പ ര ി ഷ ് ക ൃ ത വ ീ ഥ ി ക ള ി ല ൂ ട െ യ ല ഞ ് ഞ ു ന ട ക ് ക ാ ന ു ം,NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP,പരിഷ്കൃതവീഥികളിലൂടെയ+ലഞ്ഞുനടക്കാനും
പ ണ ി യ ർ ക ് ക ി ട യ ി ൽ,NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP,പണിയർക്ക+ിടയിൽ
വ േ ണ ് ട ി യ െ ന ് ത െ ങ ് ക ി ല ു ം,NSP NSP NSP NSP NSP NSP SP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP,വേണ്ടിയ+െന്ത+െങ്കിലും
യ ന ് ത ് ര ങ ് ങ ള െ യ ാ ശ ് ര യ ി ച ് ച ു ത ു ട ങ ് ങ ി യ ത േ ാ ട െ പ ് പ േ ാ ത ് ത ു ക ൃ ഷ ി യ ു ം,NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP,യന്ത്രങ്ങളെയ+ാശ്രയിച്ചുതുടങ്ങിയതോടെപ്പ+ോത്തുകൃഷിയും
ച ര ി ത ് ര പ ഠ ന ത ് ത ി ന േ റ െ,NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP,ചരിത്രപഠനത്തിന+േറെ
വ ര െ ക ് ക ാ ട ് ട ി ൽ,NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP,വരെക്ക+ാട്ടിൽ
മ ു ക ു ന ് ദ ന െ യ ു മ ൊ ക ് ക െ,NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP,മുകുന്ദനെയുമ+ൊക്കെ
റ ോ മ ാ ക ് ക ാ ര ു ട െ യ ി ഷ ് ട സ ങ ് ക േ ത ങ ് ങ ള ാ യ ി,NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP,റോമാക്കാരുടെയ+ിഷ്ടസങ്കേതങ്ങള+ായി
ക ഥ ാ പ ാ ത ് ര ങ ് ങ ള ു ണ ് ട െ ങ ് ക ി ല ു മ േ ക ാ ഭ ി ന യ സ ങ ് ക േ ത ത ് ത ി ല ൂ ട െ യ ാ ണ ്,NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP,കഥാപാത്രങ്ങള+ുണ്ട+െങ്കിലുമ+േകാഭിനയസങ്കേതത്തിലൂടെയ+ാണ്
ന ി ര ് യ ാ ത ന ാ ക ു ന ് ന ത ി ന ു,NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP,നിര്യാതന+ാകുന്നതിനു
ഇ വ യ ൊ ക ് ക െ യ ാ ണ ്,NSP NSP SP NSP NSP NSP NSP NSP SP NSP NSP NSP,ഇവയ+ൊക്കെയ+ാണ്
വ ി ക സ ന വ ു മ ു റ പ ് പ ാ ക ് ക ാ ൻ,NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP,വികസനവുമ+ുറപ്പാക്കാൻ
പ ക ് ഷ േ യ ി ന ് ത ് യ യ ി ല േ ക ് ക ്,NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP,പക്ഷേയ+ിന്ത്യയിലേക്ക്
