Text,Marked,Labels
पूर्वपरावरदक्षिणोत्तरापराधराणि,पूर्वपरावरदक्षिणोत्तरापराधराणि+व्यवस्थायाम्+असंज्ञायाम्, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
स्वमज्ञातिधनाख्यायाम्,स्वम्+अज्ञातिधनाख्यायाम्, NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
स्वरादिनिपातमव्ययम्,स्वरादिनिपातम्+अव्ययम्, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP
तद्धितश्चासर्वविभक्तिः,तद्धितः+च+च+असर्वविभक्तिः, NSP NSP NSP NSP NSP NSP NSP SP NSP SP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
कृन्मेजन्तः,कृत्+मेजन्तः, NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP
अव्ययीभावश्च,अव्ययीभावः+च, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP
सुडनपुंसकस्य,सुट्+अनपुंसकस्य, NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
न वेति विभाषा,न+वा+इति+विभाषा, NSP SP NSP NSP SP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
इग्यणः सम्प्रसारणम्,इक्+यणः+सम्प्रसारणम्, NSP NSP NSP SP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
मिदचोऽन्त्यात्परः,मित्+अचः+अन्त्यात्+परः, NSP NSP NSP NSP SP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP
एच इग्घ्रस्वादेशे,एचः+इक्+ह्रस्वादेशे, NSP NSP NSP SP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
स्थानेऽन्तरतमः,स्थाने+अन्तरतमः, NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP
उरण् रपरः,उः+अण्+रपरः, NSP NSP SP NSP NSP NSP SP NSP NSP NSP NSP
अलोऽन्त्यस्य,अलः+अन्त्यस्य, NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP
ङिच्च,ङित्+च, NSP NSP NSP NSP SP NSP
स्थानिवदादेशोऽनल्विधौ,स्थानिवत्+आदेशः+अनल्विधौ, NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP
द्विर्वचनेऽचि,द्विर्वचने+अचि, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP
न लुमताऽङ्गस्य,न+लुमता+अङ्गस्य, NSP SP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP
अचोऽन्त्यादि टि,अचः+अन्त्यादि+टि, NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP
अलोऽन्त्यात् पूर्व उपधा,अलः+अन्त्यात्+पूर्वः+उपधा, NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP
तस्मिन्निति निर्दिष्टे पूर्वस्य,तस्मिन्+इति+निर्दिष्टे+पूर्वस्य, NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP
तस्मादित्युत्तरस्य,तस्मात्+इति+उत्तरस्य, NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP
स्वं रूपं शब्दस्याशब्दसंज्ञा,स्वम्+रूपम्+शब्दस्य+अशब्दसंज्ञा, NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
अणुदित् सवर्णस्य चाप्रत्ययः,अणुदित्+सवर्णस्य+च+अप्रत्ययः, NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP
तपरस्तत्कालस्य,तपरः+तत्कालस्य, NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP
आदिरन्त्येन सहेता,आदिः+अन्त्येन+सह+इता, NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP SP NSP NSP NSP
येन विधिस्तदन्तस्य,येन+विधिः+तदन्तस्य, NSP NSP NSP SP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP
वृद्धिर्यस्याचामादिस्तद् वृद्धम्,वृद्धिः+यस्य+अचाम्+आदिः+तत्+वृद्धम्, NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP SP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP
एङ् प्राचां देशे,एङ्+प्राचाम्+देशे, NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP
विज इट्,विजः+इट्, NSP NSP NSP NSP SP NSP NSP NSP
विभाषोर्णोः,विभाषा+ऊर्णोः, NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
सार्वधातुकमपित्,सार्वधातुकम्+अपित्, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP
असंयोगाल्लिट् कित्,असंयोगात्+लिट्+कित्, NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP SP NSP NSP NSP NSP
रुदविदमुषग्रहिस्वपिप्रच्छः सँश्च,रुदविदमुषग्रहिस्वपिप्रच्छः+सन्+च, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP SP NSP
इको झल्,इकः+झल्, NSP NSP NSP SP NSP NSP NSP
हलन्ताच्च,हलन्तात्+च, NSP NSP NSP NSP NSP NSP NSP NSP SP NSP
उश्च,उः+च, NSP NSP SP NSP
यमो गन्धने,यमः+गन्धने, NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
विभाषोपयमने,विभाषा+उपयमने, NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
मृषस्तितिक्षायाम्,मृषः+तितिक्षायाम्, NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
उदुपधाद्भावादिकर्मणोरन्यतरस्याम्,उदुपधात्+भावादिकर्मणोः+अन्यतरस्याम्, NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
नोपधात्थफान्ताद्वा,नोपधात्+थफान्तात्+वा, NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP
वञ्चिलुञ्च्यृतश्च,वञ्चिलुञ्च्यृतः+च, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP
रलो व्युपधाद्धलादेः संश्च,रलः+व्युपधाद्त्+हलादेः+सन्+च, NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP SP NSP
ऊकालोऽज्झ्रस्वदीर्घप्लुतः,ऊकालः+अच्+ह्रस्वदीर्घप्लुतः, NSP NSP NSP NSP NSP SP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
अचश्च,अचः+च, NSP NSP NSP SP NSP
उच्चैरुदात्तः,उच्चैः+उदात्तः, NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP
नीचैरनुदात्तः,नीचैः+अनुदात्तः, NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP
तस्यादित उदात्तमर्धह्रस्वम्,तस्य+आदितः+उदात्तम्+अर्धह्रस्वम्, NSP NSP NSP NSP SP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
यज्ञकर्मण्यजपन्यूङ्खसामसु,यज्ञकर्मणि+अयजपन्यूङ्खसामसु, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
उच्चैस्तरां वा वषट्कारः,उच्चैस्तराम्+वा+वषट्कारः, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP
न सुब्रह्मण्यायां स्वरितस्य तूदात्तः,न+सुब्रह्मण्यायाम्+स्वरितस्य+तु+उदात्तः, NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP
देवब्रह्मणोरनुदात्तः,देवब्रह्मणोः+अनुदात्तः, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP
स्वरितात् संहितायामनुदात्तानाम्,स्वरितात्+संहितायाम्+अनुदात्तानाम्, NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
अपृक्त एकाल् प्रत्ययः,अपृक्तः+एकाल्+प्रत्ययः, NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP
प्रथमानिर्दिष्टं समास उपसर्जनम्,प्रथमानिर्दिष्टम्+समासे+उपसर्जनम्, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP
एकविभक्ति चापूर्वनिपाते,एकविभक्ति+च+आपूर्वनिपाते, NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
अर्थवदधातुरप्रत्ययः प्रातिपदिकम्,अर्थवत्+अधातुः+अप्रत्ययः+प्रातिपदिकम्, NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
कृत्तद्धितसमासाश्च,कृत्तद्धितसमासाः+च, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP
ह्रस्वो नपुंसके प्रातिपदिकस्य,ह्रस्वः+नपुंसके+प्रातिपदिकस्य, NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
गोस्त्रियोरुपसर्ज्जनस्य,गोस्त्रियोः+उपसर्जनस्य, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
इद्गोण्याः,इत्+गोण्याः, NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP
लुपि युक्तवद्व्यक्तिवचने,लुपि+युक्तवत्+व्यक्तिवचने, NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
विशेषणानां चाजातेः,विशेषणानाम्+च+आ+जातेः, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP SP NSP SP NSP NSP NSP NSP NSP
तदशिष्यं संज्ञाप्रमाणत्वात्,तत्+अशिष्यम्+संज्ञाप्रमाणत्वात्, NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
लुब्योगाप्रख्यानात्,लुप्+योगाप्रख्यानात्, NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
योगप्रमाणे च तदभावेऽदर्शनं स्यात्,योगप्रमाणे+च+तदभावे+अदर्शनम्+स्यात्, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP SP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
प्रधानप्रत्ययार्थवचनमर्थस्यान्यप्रमाणत्वात्,प्रधानप्रत्ययार्थवचनम्+अर्थस्य+अन्यप्रमाणत्वात्, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
जात्याख्यायामेकस्मिन् बहुवचनमन्यतरस्याम्,जात्याख्यायाम्+एकस्मिन्+बहुवचनम्+अन्यतरस्याम्, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
अस्मदो द्वायोश्च,अस्मदः+द्वायोः+च, NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP SP NSP
फल्गुनीप्रोष्ठपदानां च नक्षत्रे,फल्गुनीप्रोष्ठपदानाम्+च+नक्षत्रे, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP
छन्दसि पुनर्वस्वोरेकवचनम्,छन्दसि+पुनर्वस्वोः+एकवचनम्, NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP
विशाखयोश्च,विशाखयोः+च, NSP NSP NSP NSP NSP NSP NSP NSP SP NSP
तिष्यपुनर्वस्वोर्नक्षत्रद्वंद्वे बहुवचनस्य,तिष्यपुनर्वस्वोः+नक्षत्रद्वंद्वे+बहुवचनस्य+द्विवचनम्+नित्यम्, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP
सरूपाणामेकशेष एकविभक्तौ,सरूपाणाम्+एकशेषः+एकविभक्तौ, NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP
वृद्धो यूना तल्लक्षणश्चेदेव विशेषः,वृद्धः+यूना+तल्लक्षणः+चेत्+एव+विशेषः, NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP SP NSP NSP SP NSP NSP NSP NSP NSP NSP
स्त्री पुंवच्च,स्त्री+पुंवत्+च, NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP SP NSP
नपुंसकमनपुंसकेनैकवच्चास्यान्यतरस्याम्,नपुंसकम्+अनपुंसकेन+एकवत्+च+अस्य+अन्यतरस्याम्, NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP SP NSP SP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
त्यदादीनि सर्वैर्नित्यम्,त्यदादीनि+सर्वौः+नित्यम्, NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP
भूवादयो धातवः,भूवादयः+धातवः, NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP
उपदेशेऽजनुनासिक इत्,उपदेशे+अच्+अनुनासिकः+इत्, NSP NSP NSP NSP NSP NSP SP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP
हलन्त्यम्,हल्+अन्त्यम्+अन्ते+दिगादित्वात्+यत्, NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP
आदिर्ञिटुडवः,आदिः+ञिटुडवः, NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP
लशक्वतद्धिते,लशकु+अतद्धिते, NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP
यथासंख्यमनुदेशः समानाम्,यथासंख्यम्+अनुदेशः+समानाम्, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP
स्वरितेनाधिकारः,स्वरितेन+अधिकारः, NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP
अनुदात्तङित आत्मनेपदम्,अनुदात्तङितः+आत्मनेपदम्, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
इतरेतरान्योन्योपपदाच्च,इतरेतरान्योन्योपपदात्+च, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP
नेर्विशः,नेः+विशः, NSP NSP NSP SP NSP NSP NSP NSP
विपराभ्यां जेः,विपराभ्याम्+जेः, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP
आङो दोऽनास्यविहरणे,आङः+दः+अनास्यविहरणे, NSP NSP NSP SP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
क्रीडोऽनुसम्परिभ्यश्च,क्रीडः+अनुसम्परिभ्यः+च, NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP
प्रकाशनस्थेयाख्ययोश्च,प्रकाशनस्थेयाख्ययोः+च, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP
उदोऽनूर्द्ध्वकर्मणि,उदः+अनूर्ध्वकर्मणि, NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
उपान्मन्त्रकरणे,उपात्+मन्त्रकरणे, NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
अकर्मकाच्च,अकर्मकात्+च, NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP
उद्विभ्यां तपः,उद्विभ्याम्+तपः, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP
आङो यमहनः,आङः+यमहनः, NSP NSP NSP SP NSP NSP NSP NSP NSP
निसमुपविभ्यो ह्वः,निसमुपविभ्यः+ह्वः, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP
स्पर्द्धायामाङः,स्पर्द्धायाम्+आङः, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP
अकर्मकाच्च,अकर्मकात्+च, NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP
कर्तृस्थे चाशरीरे कर्मणि,कर्तृस्थे+च+अशरीरे+कर्मणि, NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP SP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
आङ उद्गमने,आङः+उद्गमने, NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP
प्रोपाभ्यां समर्थाभ्याम्,प्रोपाभ्याम्+समर्थाभ्याम्, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
अनुपसर्गाद्वा,अनुपसर्गात्+वा, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP
अकर्मकाच्च,अकर्मकात्+च, NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP
सम्प्रतिभ्यामनाध्याने,सम्प्रतिभ्याम्+अनाध्याने, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP
व्यक्तवाचां समुच्चारणे,व्यक्तवाचाम्+समुच्चारणे, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
अनोरकर्मकात्,अनोः+अकर्मकात्, NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP
अवाद्ग्रः,अवात्+ग्रः, NSP NSP NSP NSP NSP SP NSP NSP NSP NSP
उदश्चरः सकर्मकात्,उदः+चरः+सकर्मकात्, NSP NSP NSP SP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP
समस्तृतीयायुक्तात्,समः+तृतीयायुक्तात्, NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
दाणश्च सा चेच्चतुर्थ्यर्थे,दाणः+च+सा+चेत्+चतुर्थ्यर्थे, NSP NSP NSP NSP SP NSP SP NSP NSP SP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
उपाद्यमः स्वकरणे,उपात्+यमः+स्वकरणे, NSP NSP NSP NSP NSP SP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP
ज्ञाश्रुस्मृदृशां सनः,ज्ञाश्रुस्मृदृशाम्+सनः, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP
नानोर्ज्ञः,न+अनोः+ज्ञः, NSP SP NSP NSP NSP NSP SP NSP NSP NSP NSP
प्रत्याङ्भ्यां श्रुवः,प्रत्याङ्भ्याम्+श्रुवः, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
म्रियतेर्लुङ्‌लिङोश्च,म्रियते+लुङ्‌लिङोः+च, NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP
आम्प्रत्ययवत् कृञोऽनुप्रयोगस्य,आम्प्रत्ययवत्+कृञः+अनुप्रयोगस्य, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
प्रोपाभ्यां युजेरयज्ञपात्रेषु,प्रोपाभ्याम्+युजेः+अयज्ञपात्रेषु, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
भुजोऽनवने,भुजः+अनवने, NSP NSP NSP NSP SP NSP NSP NSP NSP NSP
णेरणौ यत् कर्म णौ चेत् स कर्ताऽनाध्याने,णेः+अणौ+यत्+कर्म+णौ+चेत्+सः+कर्ता+अनाध्याने, NSP NSP NSP SP NSP NSP NSP SP NSP NSP NSP SP NSP NSP NSP NSP SP NSP NSP SP NSP NSP NSP NSP SP NSP NSP SP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP
भीस्म्योर्हेतुभये,भीस्म्योः+हेतुभये, NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP
लियः सम्माननशालिनीकरणयोश्च,लियः+सम्माननशालिनीकरणयोः+च, NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP
