Text,Labels,Mapped_Text
द्विर्वचनेऽचि,द्विर्वचने+अचि,द्विर्वचनेऽचि NSP
न लुमताऽङ्गस्य,न+लुमता+अङ्गस्य,न NSP लुमताऽङ्गस्य NSP
अचोऽन्त्यादि टि,अचः+अन्त्यादि+टि,अचोऽन्त्यादि NSP टि NSP
अलोऽन्त्यात् पूर्व उपधा,अलः+अन्त्यात्+पूर्वः+उपधा,अलोऽन्त्यात् NSP पूर्व NSP उपधा NSP
तस्मिन्निति निर्दिष्टे पूर्वस्य,तस्मिन्+इति+निर्दिष्टे+पूर्वस्य,तस्मिन्निति NSP निर्दिष्टे NSP पूर्वस्य NSP
तस्मादित्युत्तरस्य,तस्मात्+इति+उत्तरस्य,तस्मादित्युत्तरस्य NSP
स्वं रूपं शब्दस्याशब्दसंज्ञा,स्वम्+रूपम्+शब्दस्य+अशब्दसंज्ञा,स्वं NSP रूपं NSP शब्दस्याशब्दसंज्ञा NSP
अणुदित् सवर्णस्य चाप्रत्ययः,अणुदित्+सवर्णस्य+च+अप्रत्ययः,अणुदित् NSP सवर्णस्य NSP चाप्रत्ययः NSP
तपरस्तत्कालस्य,तपरः+तत्कालस्य,तपरस्तत्कालस्य NSP
आदिरन्त्येन सहेता,आदिः+अन्त्येन+सह+इता,आदिरन्त्येन NSP सहेता NSP
येन विधिस्तदन्तस्य,येन+विधिः+तदन्तस्य,येन NSP विधिस्तदन्तस्य NSP
वृद्धिर्यस्याचामादिस्तद् वृद्धम्,वृद्धिः+यस्य+अचाम्+आदिः+तत्+वृद्धम्,वृद्धिर्यस्याचामादिस्तद् NSP वृद्धम् NSP
एङ् प्राचां देशे,एङ्+प्राचाम्+देशे,एङ् NSP प्राचां NSP देशे NSP
विज इट्,विजः+इट्,विज NSP इट् NSP
विभाषोर्णोः,विभाषा+ऊर्णोः,विभाषोर्णोः NSP
सार्वधातुकमपित्,सार्वधातुकम्+अपित्,सार्वधातुकमपित् NSP
असंयोगाल्लिट् कित्,असंयोगात्+लिट्+कित्,असंयोगाल्लिट् NSP कित् NSP
रुदविदमुषग्रहिस्वपिप्रच्छः सँश्च,रुदविदमुषग्रहिस्वपिप्रच्छः+सन्+च,रुदविदमुषग्रहिस्वपिप्रच्छः NSP सँश्च NSP
इको झल्,इकः+झल्,इको NSP झल् NSP
हलन्ताच्च,हलन्तात्+च,हलन्ताच्च NSP
उश्च,उः+च,उश्च NSP
यमो गन्धने,यमः+गन्धने,यमो NSP गन्धने NSP
विभाषोपयमने,विभाषा+उपयमने,विभाषोपयमने NSP
मृषस्तितिक्षायाम्,मृषः+तितिक्षायाम्,मृषस्तितिक्षायाम् NSP
उदुपधाद्भावादिकर्मणोरन्यतरस्याम्,उदुपधात्+भावादिकर्मणोः+अन्यतरस्याम्,उदुपधाद्भावादिकर्मणोरन्यतरस्याम् NSP
नोपधात्थफान्ताद्वा,नोपधात्+थफान्तात्+वा,नोपधात्थफान्ताद्वा NSP
वञ्चिलुञ्च्यृतश्च,वञ्चिलुञ्च्यृतः+च,वञ्चिलुञ्च्यृतश्च NSP
रलो व्युपधाद्धलादेः संश्च,रलः+व्युपधाद्त्+हलादेः+सन्+च,रलो NSP व्युपधाद्धलादेः NSP संश्च NSP
ऊकालोऽज्झ्रस्वदीर्घप्लुतः,ऊकालः+अच्+ह्रस्वदीर्घप्लुतः,ऊकालोऽज्झ्रस्वदीर्घप्लुतः NSP
अचश्च,अचः+च,अचश्च NSP
उच्चैरुदात्तः,उच्चैः+उदात्तः,उच्चैरुदात्तः NSP
नीचैरनुदात्तः,नीचैः+अनुदात्तः,नीचैरनुदात्तः NSP
तस्यादित उदात्तमर्धह्रस्वम्,तस्य+आदितः+उदात्तम्+अर्धह्रस्वम्,तस्यादित NSP उदात्तमर्धह्रस्वम् NSP
यज्ञकर्मण्यजपन्यूङ्खसामसु,यज्ञकर्मणि+अयजपन्यूङ्खसामसु,यज्ञकर्मण्यजपन्यूङ्खसामसु NSP
उच्चैस्तरां वा वषट्कारः,उच्चैस्तराम्+वा+वषट्कारः,उच्चैस्तरां NSP वा NSP वषट्कारः NSP
न सुब्रह्मण्यायां स्वरितस्य तूदात्तः,न+सुब्रह्मण्यायाम्+स्वरितस्य+तु+उदात्तः,न NSP सुब्रह्मण्यायां NSP स्वरितस्य NSP तूदात्तः NSP
देवब्रह्मणोरनुदात्तः,देवब्रह्मणोः+अनुदात्तः,देवब्रह्मणोरनुदात्तः NSP
स्वरितात् संहितायामनुदात्तानाम्,स्वरितात्+संहितायाम्+अनुदात्तानाम्,स्वरितात् NSP संहितायामनुदात्तानाम् NSP
अपृक्त एकाल् प्रत्ययः,अपृक्तः+एकाल्+प्रत्ययः,अपृक्त NSP एकाल् NSP प्रत्ययः NSP
प्रथमानिर्दिष्टं समास उपसर्जनम्,प्रथमानिर्दिष्टम्+समासे+उपसर्जनम्,प्रथमानिर्दिष्टं NSP समास NSP उपसर्जनम् NSP
एकविभक्ति चापूर्वनिपाते,एकविभक्ति+च+आपूर्वनिपाते,एकविभक्ति NSP चापूर्वनिपाते NSP
अर्थवदधातुरप्रत्ययः प्रातिपदिकम्,अर्थवत्+अधातुः+अप्रत्ययः+प्रातिपदिकम्,अर्थवदधातुरप्रत्ययः NSP प्रातिपदिकम् NSP
कृत्तद्धितसमासाश्च,कृत्तद्धितसमासाः+च,कृत्तद्धितसमासाश्च NSP
ह्रस्वो नपुंसके प्रातिपदिकस्य,ह्रस्वः+नपुंसके+प्रातिपदिकस्य,ह्रस्वो NSP नपुंसके NSP प्रातिपदिकस्य NSP
गोस्त्रियोरुपसर्ज्जनस्य,गोस्त्रियोः+उपसर्जनस्य,गोस्त्रियोरुपसर्ज्जनस्य NSP
इद्गोण्याः,इत्+गोण्याः,इद्गोण्याः NSP
लुपि युक्तवद्व्यक्तिवचने,लुपि+युक्तवत्+व्यक्तिवचने,लुपि NSP युक्तवद्व्यक्तिवचने NSP
विशेषणानां चाजातेः,विशेषणानाम्+च+आ+जातेः,विशेषणानां NSP चाजातेः NSP
तदशिष्यं संज्ञाप्रमाणत्वात्,तत्+अशिष्यम्+संज्ञाप्रमाणत्वात्,तदशिष्यं NSP संज्ञाप्रमाणत्वात् NSP
लुब्योगाप्रख्यानात्,लुप्+योगाप्रख्यानात्,लुब्योगाप्रख्यानात् NSP
योगप्रमाणे च तदभावेऽदर्शनं स्यात्,योगप्रमाणे+च+तदभावे+अदर्शनम्+स्यात्,योगप्रमाणे NSP च NSP तदभावेऽदर्शनं NSP स्यात् NSP
प्रधानप्रत्ययार्थवचनमर्थस्यान्यप्रमाणत्वात्,प्रधानप्रत्ययार्थवचनम्+अर्थस्य+अन्यप्रमाणत्वात्,प्रधानप्रत्ययार्थवचनमर्थस्यान्यप्रमाणत्वात् NSP
जात्याख्यायामेकस्मिन् बहुवचनमन्यतरस्याम्,जात्याख्यायाम्+एकस्मिन्+बहुवचनम्+अन्यतरस्याम्,जात्याख्यायामेकस्मिन् NSP बहुवचनमन्यतरस्याम् NSP
अस्मदो द्वायोश्च,अस्मदः+द्वायोः+च,अस्मदो NSP द्वायोश्च NSP
फल्गुनीप्रोष्ठपदानां च नक्षत्रे,फल्गुनीप्रोष्ठपदानाम्+च+नक्षत्रे,फल्गुनीप्रोष्ठपदानां NSP च NSP नक्षत्रे NSP
छन्दसि पुनर्वस्वोरेकवचनम्,छन्दसि+पुनर्वस्वोः+एकवचनम्,छन्दसि NSP पुनर्वस्वोरेकवचनम् NSP
विशाखयोश्च,विशाखयोः+च,विशाखयोश्च NSP
तिष्यपुनर्वस्वोर्नक्षत्रद्वंद्वे बहुवचनस्य,तिष्यपुनर्वस्वोः+नक्षत्रद्वंद्वे+बहुवचनस्य+द्विवचनम्+नित्यम्,तिष्यपुनर्वस्वोर्नक्षत्रद्वंद्वे NSP बहुवचनस्य NSP
सरूपाणामेकशेष एकविभक्तौ,सरूपाणाम्+एकशेषः+एकविभक्तौ,सरूपाणामेकशेष NSP एकविभक्तौ NSP
वृद्धो यूना तल्लक्षणश्चेदेव विशेषः,वृद्धः+यूना+तल्लक्षणः+चेत्+एव+विशेषः,वृद्धो NSP यूना NSP तल्लक्षणश्चेदेव NSP विशेषः NSP
स्त्री पुंवच्च,स्त्री+पुंवत्+च,स्त्री NSP पुंवच्च NSP
नपुंसकमनपुंसकेनैकवच्चास्यान्यतरस्याम्,नपुंसकम्+अनपुंसकेन+एकवत्+च+अस्य+अन्यतरस्याम्,नपुंसकमनपुंसकेनैकवच्चास्यान्यतरस्याम् NSP
त्यदादीनि सर्वैर्नित्यम्,त्यदादीनि+सर्वौः+नित्यम्,त्यदादीनि NSP सर्वैर्नित्यम् NSP
भूवादयो धातवः,भूवादयः+धातवः,भूवादयो NSP धातवः NSP
उपदेशेऽजनुनासिक इत्,उपदेशे+अच्+अनुनासिकः+इत्,उपदेशेऽजनुनासिक NSP इत् NSP
हलन्त्यम्,हल्+अन्त्यम्+अन्ते+दिगादित्वात्+यत्,हलन्त्यम् NSP
आदिर्ञिटुडवः,आदिः+ञिटुडवः,आदिर्ञिटुडवः NSP
लशक्वतद्धिते,लशकु+अतद्धिते,लशक्वतद्धिते NSP
यथासंख्यमनुदेशः समानाम्,यथासंख्यम्+अनुदेशः+समानाम्,यथासंख्यमनुदेशः NSP समानाम् NSP
स्वरितेनाधिकारः,स्वरितेन+अधिकारः,स्वरितेनाधिकारः NSP
अनुदात्तङित आत्मनेपदम्,अनुदात्तङितः+आत्मनेपदम्,अनुदात्तङित NSP आत्मनेपदम् NSP
इतरेतरान्योन्योपपदाच्च,इतरेतरान्योन्योपपदात्+च,इतरेतरान्योन्योपपदाच्च NSP
नेर्विशः,नेः+विशः,नेर्विशः NSP
विपराभ्यां जेः,विपराभ्याम्+जेः,विपराभ्यां NSP जेः NSP
आङो दोऽनास्यविहरणे,आङः+दः+अनास्यविहरणे,आङो NSP दोऽनास्यविहरणे NSP
क्रीडोऽनुसम्परिभ्यश्च,क्रीडः+अनुसम्परिभ्यः+च,क्रीडोऽनुसम्परिभ्यश्च NSP
प्रकाशनस्थेयाख्ययोश्च,प्रकाशनस्थेयाख्ययोः+च,प्रकाशनस्थेयाख्ययोश्च NSP
उदोऽनूर्द्ध्वकर्मणि,उदः+अनूर्ध्वकर्मणि,उदोऽनूर्द्ध्वकर्मणि NSP
उपान्मन्त्रकरणे,उपात्+मन्त्रकरणे,उपान्मन्त्रकरणे NSP
अकर्मकाच्च,अकर्मकात्+च,अकर्मकाच्च NSP
उद्विभ्यां तपः,उद्विभ्याम्+तपः,उद्विभ्यां NSP तपः NSP
आङो यमहनः,आङः+यमहनः,आङो NSP यमहनः NSP
निसमुपविभ्यो ह्वः,निसमुपविभ्यः+ह्वः,निसमुपविभ्यो NSP ह्वः NSP
स्पर्द्धायामाङः,स्पर्द्धायाम्+आङः,स्पर्द्धायामाङः NSP
अकर्मकाच्च,अकर्मकात्+च,अकर्मकाच्च NSP
कर्तृस्थे चाशरीरे कर्मणि,कर्तृस्थे+च+अशरीरे+कर्मणि,कर्तृस्थे NSP चाशरीरे NSP कर्मणि NSP
आङ उद्गमने,आङः+उद्गमने,आङ NSP उद्गमने NSP
प्रोपाभ्यां समर्थाभ्याम्,प्रोपाभ्याम्+समर्थाभ्याम्,प्रोपाभ्यां NSP समर्थाभ्याम् NSP
अनुपसर्गाद्वा,अनुपसर्गात्+वा,अनुपसर्गाद्वा NSP
अकर्मकाच्च,अकर्मकात्+च,अकर्मकाच्च NSP
सम्प्रतिभ्यामनाध्याने,सम्प्रतिभ्याम्+अनाध्याने,सम्प्रतिभ्यामनाध्याने NSP
व्यक्तवाचां समुच्चारणे,व्यक्तवाचाम्+समुच्चारणे,व्यक्तवाचां NSP समुच्चारणे NSP
अनोरकर्मकात्,अनोः+अकर्मकात्,अनोरकर्मकात् NSP
अवाद्ग्रः,अवात्+ग्रः,अवाद्ग्रः NSP
उदश्चरः सकर्मकात्,उदः+चरः+सकर्मकात्,उदश्चरः NSP सकर्मकात् NSP
समस्तृतीयायुक्तात्,समः+तृतीयायुक्तात्,समस्तृतीयायुक्तात् NSP
दाणश्च सा चेच्चतुर्थ्यर्थे,दाणः+च+सा+चेत्+चतुर्थ्यर्थे,दाणश्च NSP सा NSP चेच्चतुर्थ्यर्थे NSP
उपाद्यमः स्वकरणे,उपात्+यमः+स्वकरणे,उपाद्यमः NSP स्वकरणे NSP
ज्ञाश्रुस्मृदृशां सनः,ज्ञाश्रुस्मृदृशाम्+सनः,ज्ञाश्रुस्मृदृशां NSP सनः NSP
नानोर्ज्ञः,न+अनोः+ज्ञः,नानोर्ज्ञः NSP
प्रत्याङ्भ्यां श्रुवः,प्रत्याङ्भ्याम्+श्रुवः,प्रत्याङ्भ्यां NSP श्रुवः NSP
म्रियतेर्लुङ्‌लिङोश्च,म्रियते+लुङ्‌लिङोः+च,म्रियतेर्लुङ्‌लिङोश्च NSP
आम्प्रत्ययवत् कृञोऽनुप्रयोगस्य,आम्प्रत्ययवत्+कृञः+अनुप्रयोगस्य,आम्प्रत्ययवत् NSP कृञोऽनुप्रयोगस्य NSP
प्रोपाभ्यां युजेरयज्ञपात्रेषु,प्रोपाभ्याम्+युजेः+अयज्ञपात्रेषु,प्रोपाभ्यां NSP युजेरयज्ञपात्रेषु NSP
भुजोऽनवने,भुजः+अनवने,भुजोऽनवने NSP
णेरणौ यत् कर्म णौ चेत् स कर्ताऽनाध्याने,णेः+अणौ+यत्+कर्म+णौ+चेत्+सः+कर्ता+अनाध्याने,णेरणौ NSP यत् NSP कर्म NSP णौ NSP चेत् NSP स NSP कर्ताऽनाध्याने NSP
भीस्म्योर्हेतुभये,भीस्म्योः+हेतुभये,भीस्म्योर्हेतुभये NSP
लियः सम्माननशालिनीकरणयोश्च,लियः+सम्माननशालिनीकरणयोः+च,लियः NSP सम्माननशालिनीकरणयोश्च NSP
मिथ्योपपदात् कृञोऽभ्यासे,मिथ्योपपदात्+कृञः+अभ्यासे,मिथ्योपपदात् NSP कृञोऽभ्यासे NSP
अपाद्वदः,अपात्+वदः,अपाद्वदः NSP
णिचश्च,णिचः+च,णिचश्च NSP
समुदाङ्भ्यो यमोऽग्रन्थे,समुदाङ्भ्यः+यमः+अग्रन्थे,समुदाङ्भ्यो NSP यमोऽग्रन्थे NSP
अनुपसर्गाज्ज्ञः,अनुपसर्गात्+ज्ञः,अनुपसर्गाज्ज्ञः NSP
विभाषोपपदेन प्रतीयमाने,विभाषा+उपपदेन+प्रतीयमाने,विभाषोपपदेन NSP प्रतीयमाने NSP
अनुपराभ्यां कृञः,अनुपराभ्याम्+कृञः,अनुपराभ्यां NSP कृञः NSP
प्राद्वहः,प्रात्+वहः,प्राद्वहः NSP
परेर्मृषः,परेः+मृषः,परेर्मृषः NSP
व्याङ्परिभ्यो रमः,व्याङ्परिभ्यः+रमः,व्याङ्परिभ्यो NSP रमः NSP
उपाच्च,उपात्+च,उपाच्च NSP
विभाषाऽकर्मकात्,विभाषा+अकर्मकात्,विभाषाऽकर्मकात् NSP
निगरणचलनार्थेभ्यः,निगरणचलनार्थेभ्यः+च,निगरणचलनार्थेभ्यः NSP
अणावकर्मकाच्चित्तवत्कर्तृकात्,अणौ+अकर्मकात्+चित्तवत्कर्तृकात्,अणावकर्मकाच्चित्तवत्कर्तृकात् NSP
द्युद्भ्यो लुङि,द्‍युभ्यः+लुङि,द्युद्भ्यो NSP लुङि NSP
वृद्भ्यः स्यसनोः,वृद्‍भ्यः+स्यसनोः,वृद्भ्यः NSP स्यसनोः NSP
आ कडारादेका संज्ञा,आ+कडारात्+एका+संज्ञा,आ NSP कडारादेका NSP संज्ञा NSP
विप्रतिषेधे परं कार्यम्,विप्रतिषेधे+परम्+कार्यम्,विप्रतिषेधे NSP परं NSP कार्यम् NSP
नेयङुवङ्स्थानावस्त्री,न+इयङुवङ्स्थानौ+अस्त्री,नेयङुवङ्स्थानावस्त्री NSP
वाऽऽमि,वा+आमि,वाऽऽमि NSP
शेषो घ्यसखि,शेषः+घि+असखि,शेषो NSP घ्यसखि NSP
पतिः समास एव,पतिः+समासे+एव,पतिः NSP समास NSP एव NSP
षष्ठीयुक्तश्छन्दसि वा,षष्ठीयुक्तः+छन्दसि+वा,षष्ठीयुक्तश्छन्दसि NSP वा NSP
ह्रस्वं लघु,ह्रस्वम्+लघु,ह्रस्वं NSP लघु NSP
दीर्घं च,दीर्घम्+च,दीर्घं NSP च NSP
यस्मात् प्रत्ययविधिस्तदादि प्रत्ययेऽङ्गम्,यस्मात्+प्रत्ययविधिः+तदादि+प्रत्यये+अङ्गम्,यस्मात् NSP प्रत्ययविधिस्तदादि NSP प्रत्ययेऽङ्गम् NSP
सुप्तिङन्तं पदम्,सुप्तिङन्तम्+पदम्,सुप्तिङन्तं NSP पदम् NSP
स्वादिष्वसर्वनामस्थाने,स्वादिषु+असर्वनमस्थाने,स्वादिष्वसर्वनामस्थाने NSP
अयस्मयादीनि च्छन्दसि,अयस्मयादीनि+छन्दसि,अयस्मयादीनि NSP च्छन्दसि NSP
ध्रुवमपायेऽपादानम्,ध्रुवम्+अपाये+अपादानम्,ध्रुवमपायेऽपादानम् NSP
भीत्रार्थानां भयहेतुः,भीत्रार्थानाम्+भयहेतुः,भीत्रार्थानां NSP भयहेतुः NSP
पराजेरसोढः,पराजेः+असोढः,पराजेरसोढः NSP
वारणार्थानां ईप्सितः,वारणार्थानाम्+ईप्सितः,वारणार्थानां NSP ईप्सितः NSP
अन्तर्द्धौ येनादर्शनमिच्छति,अन्तर्द्धौ+येन+अदर्शनम्+इच्छति+पदम्,अन्तर्द्धौ NSP येनादर्शनमिच्छति NSP
आख्यातोपयोगे,आख्याता+उपयोगे,आख्यातोपयोगे NSP
कर्मणा यमभिप्रैति स सम्प्रदानम्,कर्मणा+यम्+अभिप्रैति+सः+सम्प्रदानम्,कर्मणा NSP यमभिप्रैति NSP स NSP सम्प्रदानम् NSP
रुच्यर्थानां प्रीयमाणः,रुच्यर्थानाम्+प्रीयमाणः,रुच्यर्थानां NSP प्रीयमाणः NSP
श्लाघह्नुङ्स्थाशपां ज्ञीप्स्यमानः,श्लाघह्नुङ्स्थाशपाम्+ज्ञीप्स्यमानः,श्लाघह्नुङ्स्थाशपां NSP ज्ञीप्स्यमानः NSP
धारेरुत्तमर्णः,धारेः+उत्तमर्णः,धारेरुत्तमर्णः NSP
स्पृहेरीप्सितः,स्पृहेः+ईप्सितः,स्पृहेरीप्सितः NSP
क्रुधद्रुहेर्ष्याऽसूयार्थानां यं प्रति कोपः,क्रुधद्रुहेर्ष्यासूयार्थानाम्+यम्+प्रति+कोपः,क्रुधद्रुहेर्ष्याऽसूयार्थानां NSP यं NSP प्रति NSP कोपः NSP
क्रुधद्रुहोरुपसृष्टयोः कर्म,क्रुधद्रुहोः+उपसृष्टयोः+कर्म,क्रुधद्रुहोरुपसृष्टयोः NSP कर्म NSP
राधीक्ष्योर्यस्य विप्रश्नः,राधीक्ष्योः+यस्य+विप्रश्नः,राधीक्ष्योर्यस्य NSP विप्रश्नः NSP
प्रत्याङ्भ्यां श्रुवः पूर्वस्य कर्ता,प्रत्याङ्भ्याम्+श्रुवः+पूर्वस्य+कर्ता,प्रत्याङ्भ्यां NSP श्रुवः NSP पूर्वस्य NSP कर्ता NSP
अनुप्रतिगृणश्च,अनुप्रतिगृणः+च,अनुप्रतिगृणश्च NSP
साधकतमं करणम्,साधकतमम्+करणम्,साधकतमं NSP करणम् NSP
परिक्रयणे सम्प्रदानमन्यतरस्याम्,परिक्रयणे+सम्प्रदानम्+अन्यतरस्याम्,परिक्रयणे NSP सम्प्रदानमन्यतरस्याम् NSP
आधारोऽधिकरणम्,आधारः+अधिकरणम्,आधारोऽधिकरणम् NSP
अधिशीङ्स्थाऽऽसां कर्म,अधिशीङ्स्थाऽऽसाम्+कर्म,अधिशीङ्स्थाऽऽसां NSP कर्म NSP
अभिनिविशश्च,अभिनिविशः+च,अभिनिविशश्च NSP
कर्तुरीप्सिततमं कर्म,कर्तुः+ईप्सिततमम्+कर्म,कर्तुरीप्सिततमं NSP कर्म NSP
तथायुक्तं चानिप्सीतम्,तथा+युक्तम्+च+आनिप्सीतम्,तथायुक्तं NSP चानिप्सीतम् NSP
अकथितं च,अकथितम्+च,अकथितं NSP च NSP
गतिबुद्धिप्रत्यवसानार्थशब्दकर्माकर्मकाणामणि कर्ता,गतिबुद्धिप्रत्यवसानार्थशब्दकर्माकर्मकाणाम्+अणि+कर्ता+सः+णौ,गतिबुद्धिप्रत्यवसानार्थशब्दकर्माकर्मकाणामणि NSP कर्ता NSP
हृक्रोरन्यतरस्याम्,हृक्रोः+अन्यतरस्याम्,हृक्रोरन्यतरस्याम् NSP
तत्प्रयोजको हेतुश्च,तत्प्रयोजकः+हेतुः+च,तत्प्रयोजको NSP हेतुश्च NSP
प्राग्रीश्वरान्निपाताः,प्राक्+रीश्वरात्+निपाताः,प्राग्रीश्वरान्निपाताः NSP
चादयोऽसत्त्वे,चादयः+असत्त्वे,चादयोऽसत्त्वे NSP
गतिश्च,गतिः+च,गतिश्च NSP
ऊर्यादिच्विडाचश्च,ऊर्यादिच्विडाचः+च,ऊर्यादिच्विडाचश्च NSP
अनुकरणं चानितिपरम्,अनुकरणम्+च+अनितिपरम्,अनुकरणं NSP चानितिपरम् NSP
भूषणेऽलम्,भूषणे+अलम्,भूषणेऽलम् NSP
अन्तरपरिग्रहे,अन्तः+अपरिग्रहे,अन्तरपरिग्रहे NSP
पुरोऽव्ययम्,पुरः+अव्ययम्,पुरोऽव्ययम् NSP
अस्तं च,अस्तम्+च,अस्तं NSP च NSP
अदोऽनुपदेशे,अदः+अनुपदेशे,अदोऽनुपदेशे NSP
तिरोऽन्तर्द्धौ,तिरः+अन्तर्द्धौ,तिरोऽन्तर्द्धौ NSP
अनत्याधान उरसिमनसी,अनत्याधाने+उरसिमनसी,अनत्याधान NSP उरसिमनसी NSP
नित्यं हस्ते पाणावुपयमने,नित्यम्+हस्ते,नित्यं NSP हस्ते NSP पाणावुपयमने NSP
प्राध्वं बन्धने,प्राध्वम्+बन्धने,प्राध्वं NSP बन्धने NSP
जीविकोपनिषदावौपम्ये,जीविकोपनिषदौ+औपम्ये,जीविकोपनिषदावौपम्ये NSP
छन्दसि परेऽपि,छन्दसि+परे+अपि,छन्दसि NSP परेऽपि NSP
व्यवहिताश्च,व्यवहिताः+च,व्यवहिताश्च NSP
अनुर्लक्षणे,अनुः+लक्षणे,अनुर्लक्षणे NSP
उपोऽधिके च,उपः+अधिके+च,उपोऽधिके NSP च NSP
अभिरभागे,अभिः+अभागे,अभिरभागे NSP
अतिरतिक्रमणे च,अतिः+अतिक्रमणे+च,अतिरतिक्रमणे NSP च NSP
अधिरीश्वरे,अधिः+ईश्वरे,अधिरीश्वरे NSP
तङानावात्मनेपदम्,तङानौ+आत्मनेपदम्,तङानावात्मनेपदम् NSP
तिङस्त्रीणि त्रीणि प्रथममध्यमोत्तमाः,तिङः+त्रीणि+त्रीणि+प्रथममध्यमोत्तमाः,तिङस्त्रीणि NSP त्रीणि NSP प्रथममध्यमोत्तमाः NSP
तान्येकवचनद्विवचनबहुवचनान्येकशः,तानि+एकवचनद्विवचनबहुवचनान्येकशः,तान्येकवचनद्विवचनबहुवचनान्येकशः NSP
विभक्तिश्च,विभक्तिः+च,विभक्तिश्च NSP
युष्मद्युपपदे समानाधिकरणे स्थानिन्यपि मध्यमः,युष्मदि+उपपदे+समानाधिकरणे+स्थानिनि+अपि+मध्यमः,युष्मद्युपपदे NSP समानाधिकरणे NSP स्थानिन्यपि NSP मध्यमः NSP
प्रहासे च मन्योपपदे मन्यतेरुत्तम एकवच्च,प्रहासे+च+मन्योपपदे+मन्यतेः+उत्तम+एकवत्+च,प्रहासे NSP च NSP मन्योपपदे NSP मन्यतेरुत्तम NSP एकवच्च NSP
अस्मद्युत्तमः,अस्मदि+उत्तमः,अस्मद्युत्तमः NSP
परः संनिकर्षः संहिता,परः+सन्निकर्षः+संहिता,परः NSP संनिकर्षः NSP संहिता NSP
विरामोऽवसानम्,विरामः+अवसानम्,विरामोऽवसानम् NSP
सुबामन्त्रिते पराङ्गवत्‌ स्वरे,सुप्+आमन्त्रिते+पराङ्गवत्+स्वरे,सुबामन्त्रिते NSP पराङ्गवत्‌ NSP स्वरे NSP
यथाऽसादृये,यथा+असादृये,यथाऽसादृये NSP
यावदवधारणे,यावत्+अवधारणे,यावदवधारणे NSP
